data,IPCA,IPCA acumulado
2018-06-22,1.11,1.2431364455337923
2018-06-23,1.11,1.2431364455337923
2018-06-24,1.11,1.2431364455337923
2018-06-25,1.11,1.2431364455337923
2018-06-26,1.11,1.2431364455337923
2018-06-27,1.11,1.2431364455337923
2018-06-28,1.11,1.2431364455337923
2018-06-29,1.11,1.2431364455337923
2018-06-30,1.11,1.2431364455337923
2018-07-01,0.64,1.2510925187852084
2018-07-02,0.64,1.2510925187852084
2018-07-03,0.64,1.2510925187852084
2018-07-04,0.64,1.2510925187852084
2018-07-05,0.64,1.2510925187852084
2018-07-06,0.64,1.2510925187852084
2018-07-07,0.64,1.2510925187852084
2018-07-08,0.64,1.2510925187852084
2018-07-09,0.64,1.2510925187852084
2018-07-10,0.64,1.2510925187852084
2018-07-11,0.64,1.2510925187852084
2018-07-12,0.64,1.2510925187852084
2018-07-13,0.64,1.2510925187852084
2018-07-14,0.64,1.2510925187852084
